"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"3","6","OO","LGA","ORD","1300","3.0"
"5","2","DL","LGA","ORD","1259","0.0"
"11","3","DL","JFK","ATL","1143","0.0"
"9","7","AA","JFK","LAX","1530","28.0"
"9","5","UA","LGA","ORD","1005","0.0"
"8","2","B6","JFK","LAX","1759","0.0"
"6","6","DL","JFK","ATL","1135","4.0"
"11","6","AA","JFK","LAX","2030","10.0"
"3","1","B6","JFK","LAX","1615","0.0"
"4","2","B6","JFK","LAX","920","0.0"
"11","5","DL","LGA","ORD","850","0.0"
"9","7","DL","LGA","ORD","1625","0.0"
"4","1","DL","JFK","ATL","1905","8.0"
"8","7","AA","LGA","ORD","1610","42.0"
"10","3","AA","JFK","ORD","1607","0.0"
"4","5","YX","LGA","ATL","1400","0.0"
"11","4","AA","LGA","ORD","1930","0.0"
"11","4","AA","LGA","ORD","830","0.0"
"11","4","AA","LGA","ORD","630","0.0"
"4","2","AA","LGA","DFW","629","0.0"
"9","4","B6","JFK","ATL","1605","25.0"
"10","3","AA","JFK","PHX","1329","0.0"
"8","4","B6","JFK","LAX","935","0.0"
"12","5","DL","JFK","DFW","835","6.0"
"7","1","AA","JFK","ORD","1550","1.0"
"7","3","DL","JFK","ATL","840","1.0"
"8","6","DL","JFK","LAX","700","0.0"
"3","4","AA","LGA","DFW","550","0.0"
"6","1","AA","JFK","ORD","800","62.0"
"9","1","WN","LGA","ATL","1555","0.0"
"3","7","AA","JFK","LAX","1529","1.0"
"5","4","DL","LGA","ATL","1655","14.0"
"11","3","AA","JFK","PHX","1629","0.0"
"11","7","AA","LGA","ORD","1230","0.0"
"7","1","OO","LGA","ORD","1405","1.0"
"2","7","DL","JFK","ATL","840","111.0"
"7","4","AA","LGA","ORD","1430","0.0"
"9","5","B6","JFK","LAX","1300","0.0"
"3","7","B6","JFK","LAX","1100","0.0"
"2","1","DL","JFK","LAX","1545","79.0"
"11","7","AA","JFK","DFW","815","0.0"
"10","3","DL","LGA","ORD","1635","45.0"
"8","4","AA","JFK","ORD","829","0.0"
"8","2","AA","JFK","DFW","759","0.0"
"10","5","NK","LGA","DFW","1159","0.0"
"8","5","OO","JFK","ORD","1610","17.0"
"2","5","DL","LGA","ATL","2005","30.0"
"6","5","AA","JFK","PHX","1324","0.0"
"6","6","UA","LGA","ORD","1820","0.0"
"4","7","B6","JFK","LAX","713","11.0"
"3","7","YX","LGA","ATL","830","0.0"
"8","1","AA","LGA","ORD","1600","43.0"
"7","3","F9","LGA","DFW","2255","48.0"
"2","5","DL","JFK","LAX","1200","0.0"
"11","4","AA","LGA","ORD","1830","26.0"
"11","4","WN","LGA","ATL","1755","0.0"
"12","1","B6","JFK","LAX","2259","0.0"
"8","3","AA","JFK","PHX","1329","0.0"
"6","5","B6","JFK","LAX","1100","0.0"
"8","6","UA","LGA","ORD","1305","0.0"
"3","1","AA","LGA","ORD","1430","76.0"
"11","2","AA","JFK","LAX","1015","0.0"
"11","2","DL","LGA","DFW","1430","0.0"
"2","7","DL","JFK","PHX","1855","0.0"
"8","1","UA","LGA","ORD","900","0.0"
"2","5","DL","LGA","ATL","1250","0.0"
"6","5","B6","JFK","ATL","1301","20.0"
"5","1","UA","LGA","ORD","600","0.0"
"2","7","AA","JFK","LAX","1030","7.0"
"6","7","AA","JFK","LAX","1625","41.0"
"8","7","AA","LGA","ORD","1530","0.0"
"9","3","OO","LGA","ORD","1656","0.0"
"8","4","B6","JFK","LAX","1200","0.0"
"11","2","AA","LGA","DFW","1100","0.0"
"10","3","DL","JFK","ATL","1100","0.0"
"7","6","B6","LGA","ATL","1325","60.0"
"7","2","WN","LGA","ATL","1450","12.0"
"4","3","DL","LGA","ATL","1025","0.0"
"11","3","AA","LGA","DFW","825","0.0"
"12","1","YX","LGA","ATL","1735","20.0"
"2","7","UA","LGA","ORD","1659","3.0"
"6","1","DL","LGA","ATL","1859","11.0"
"11","3","AA","JFK","LAX","1100","0.0"
"8","3","B6","LGA","ATL","810","0.0"
"6","2","B6","JFK","LAX","2130","0.0"
"2","5","DL","LGA","ATL","1659","0.0"
"4","7","AA","JFK","LAX","1659","0.0"
"11","3","UA","LGA","ORD","1500","0.0"
"8","1","DL","JFK","ATL","1135","0.0"
"9","5","AA","LGA","ORD","930","4.0"
"11","1","AA","LGA","DFW","625","0.0"
"5","3","B6","JFK","LAX","1530","6.0"
"4","6","AA","LGA","ORD","1629","0.0"
"11","5","DL","LGA","ATL","1930","11.0"
"9","2","AA","LGA","ORD","1930","40.0"
"3","4","DL","JFK","PHX","1629","0.0"
"4","1","UA","LGA","ORD","1915","0.0"
"4","1","DL","JFK","DFW","835","6.0"
"4","3","AA","LGA","ORD","1841","34.0"
"12","3","AA","JFK","PHX","630","0.0"
"5","1","OO","JFK","ORD","1205","0.0"
"3","6","WN","LGA","ATL","600","3.0"
"12","2","B6","JFK","LAX","700","0.0"
"11","4","AA","LGA","ORD","1630","37.0"
"3","4","DL","JFK","LAX","2129","15.0"
"4","2","DL","LGA","ORD","1825","0.0"
"9","1","AA","JFK","LAX","1030","0.0"
"4","5","AA","JFK","LAX","710","42.0"
"10","7","DL","JFK","ATL","810","0.0"
"8","7","DL","JFK","ATL","1135","0.0"
"8","7","AA","JFK","PHX","1629","0.0"
"7","6","AA","JFK","PHX","1329","26.0"
"3","7","DL","LGA","ATL","1425","8.0"
"2","2","DL","LGA","ATL","2120","25.0"
"12","2","DL","LGA","ATL","1129","0.0"
"8","5","B6","JFK","ATL","932","14.0"
"11","1","DL","JFK","ATL","615","0.0"
"5","3","B6","JFK","ATL","1720","106.0"
