iter	Passed	Remaining
0	0	62
1	1	57
2	1	53
3	1	47
4	2	46
5	2	45
6	3	44
7	3	43
8	4	43
9	4	42
10	5	41
11	5	40
12	5	40
13	6	39
14	6	39
15	7	38
16	7	38
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	34
23	10	34
24	11	34
25	11	33
26	12	33
27	13	33
28	13	33
29	14	32
30	14	32
31	15	32
32	15	31
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	23	23
49	23	23
50	23	23
51	24	22
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	32	15
67	32	15
68	33	14
69	33	14
70	34	14
71	34	13
72	35	13
73	35	12
74	36	12
75	37	11
76	37	11
77	38	10
78	39	10
79	39	9
80	40	9
81	41	9
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	48	0
99	49	0
