iter	Passed	Remaining
0	147	147828
1	157	78344
2	164	54717
3	172	43069
4	180	35951
5	188	31277
6	196	27891
7	205	25471
8	214	23610
9	224	22177
10	233	20962
11	241	19865
12	249	18972
13	258	18202
14	266	17521
15	273	16843
16	280	16244
17	288	15723
18	295	15252
19	302	14834
20	309	14435
21	317	14097
22	324	13762
23	331	13480
24	338	13220
25	346	12974
26	353	12751
27	361	12532
28	368	12349
29	376	12160
30	383	11981
31	390	11803
32	397	11657
33	405	11515
34	412	11379
35	419	11242
36	427	11119
37	434	11001
38	441	10887
39	449	10799
40	456	10685
41	464	10588
42	471	10489
43	478	10393
44	485	10304
45	492	10214
46	500	10140
47	507	10056
48	514	9988
49	521	9910
50	528	9840
51	535	9763
52	542	9696
53	550	9636
54	556	9569
55	564	9517
56	571	9455
57	579	9407
58	586	9351
59	593	9304
60	601	9255
61	608	9210
62	616	9165
63	623	9112
64	630	9070
65	637	9026
66	645	8986
67	652	8938
68	660	8905
69	667	8874
70	675	8834
71	682	8793
72	689	8757
73	696	8721
74	704	8684
75	711	8654
76	719	8620
77	726	8591
78	734	8558
79	741	8524
80	748	8495
81	755	8461
82	763	8439
83	770	8403
84	778	8377
85	785	8346
86	792	8320
87	800	8297
88	808	8272
89	815	8244
90	822	8213
91	829	8185
92	836	8159
93	844	8135
94	851	8107
95	858	8088
96	866	8063
97	873	8037
98	880	8016
99	887	7988
100	894	7965
101	901	7939
102	909	7919
103	916	7897
104	923	7875
105	930	7851
106	938	7832
107	945	7808
108	952	7783
109	960	7768
110	967	7746
111	975	7730
112	982	7710
113	989	7691
114	996	7670
115	1004	7654
116	1011	7631
117	1018	7611
118	1025	7590
119	1032	7568
120	1039	7550
121	1046	7530
122	1053	7513
123	1061	7495
124	1068	7478
125	1075	7461
126	1082	7440
127	1091	7434
128	1099	7420
129	1106	7405
130	1113	7386
131	1121	7372
132	1128	7353
133	1135	7337
134	1142	7322
135	1149	7304
136	1157	7290
137	1164	7272
138	1172	7261
139	1179	7244
140	1187	7232
141	1194	7214
142	1201	7202
143	1209	7190
144	1217	7176
145	1224	7160
146	1231	7144
147	1238	7129
148	1245	7112
149	1253	7101
150	1260	7085
151	1267	7072
152	1274	7057
153	1281	7042
154	1289	7030
155	1296	7016
156	1304	7005
157	1312	6992
158	1319	6977
159	1326	6964
160	1333	6951
161	1340	6935
162	1348	6922
163	1355	6911
164	1362	6897
165	1370	6885
166	1377	6869
167	1384	6859
168	1392	6845
169	1399	6833
170	1406	6819
171	1413	6805
172	1421	6794
173	1428	6778
174	1435	6768
175	1442	6754
176	1449	6742
177	1456	6727
178	1464	6718
179	1472	6710
180	1481	6701
181	1489	6696
182	1498	6688
183	1505	6677
184	1513	6667
185	1521	6657
186	1529	6649
187	1537	6640
188	1545	6633
189	1555	6630
190	1563	6623
191	1571	6613
192	1579	6602
193	1586	6593
194	1594	6583
195	1604	6580
196	1612	6573
197	1620	6562
198	1628	6553
199	1635	6542
200	1643	6532
201	1650	6521
202	1658	6511
203	1667	6505
204	1675	6497
205	1683	6488
206	1690	6476
207	1698	6469
208	1706	6457
209	1713	6446
210	1721	6436
211	1729	6427
212	1737	6419
213	1745	6411
214	1753	6401
215	1761	6392
216	1768	6381
217	1776	6373
218	1783	6360
219	1790	6348
220	1797	6337
221	1804	6325
222	1812	6316
223	1819	6304
224	1827	6294
225	1834	6281
226	1841	6270
227	1848	6260
228	1855	6247
229	1863	6238
230	1869	6225
231	1877	6214
232	1884	6201
233	1891	6191
234	1898	6180
235	1905	6168
236	1913	6159
237	1920	6147
238	1927	6138
239	1934	6126
240	1942	6116
241	1949	6104
242	1955	6092
243	1962	6081
244	1969	6069
245	1976	6059
246	1983	6047
247	1991	6038
248	1998	6028
249	2005	6017
250	2013	6006
251	2019	5994
252	2027	5986
253	2034	5974
254	2041	5964
255	2048	5953
256	2055	5943
257	2062	5932
258	2069	5921
259	2077	5911
260	2083	5900
261	2091	5890
262	2098	5879
263	2105	5871
264	2112	5859
265	2119	5849
266	2128	5843
267	2135	5832
268	2143	5824
269	2149	5812
270	2157	5804
271	2164	5793
272	2172	5784
273	2178	5773
274	2185	5762
275	2193	5754
276	2200	5743
277	2207	5733
278	2214	5722
279	2221	5712
280	2228	5702
281	2235	5692
282	2242	5681
283	2249	5671
284	2257	5662
285	2263	5651
286	2271	5642
287	2277	5631
288	2284	5621
289	2291	5611
290	2298	5600
291	2305	5589
292	2312	5580
293	2320	5571
294	2327	5562
295	2334	5553
296	2341	5543
297	2349	5533
298	2356	5525
299	2363	5515
300	2370	5505
301	2378	5496
302	2385	5487
303	2392	5477
304	2399	5467
305	2406	5457
306	2413	5447
307	2421	5439
308	2428	5429
309	2435	5420
310	2442	5410
311	2449	5401
312	2456	5392
313	2464	5383
314	2471	5374
315	2478	5363
316	2485	5355
317	2492	5346
318	2500	5337
319	2506	5327
320	2513	5317
321	2520	5307
322	2527	5297
323	2534	5288
324	2541	5279
325	2549	5270
326	2556	5260
327	2562	5250
328	2570	5242
329	2577	5232
330	2584	5223
331	2591	5214
332	2598	5204
333	2605	5195
334	2612	5186
335	2619	5177
336	2627	5168
337	2635	5161
338	2642	5151
339	2649	5142
340	2656	5133
341	2663	5124
342	2670	5114
343	2677	5106
344	2685	5098
345	2692	5089
346	2699	5080
347	2707	5071
348	2714	5062
349	2721	5053
350	2728	5045
351	2736	5038
352	2743	5029
353	2751	5020
354	2758	5011
355	2765	5003
356	2772	4993
357	2779	4985
358	2786	4975
359	2793	4966
360	2800	4957
361	2807	4948
362	2815	4940
363	2822	4931
364	2830	4923
365	2836	4914
366	2844	4906
367	2851	4896
368	2858	4887
369	2866	4880
370	2873	4870
371	2880	4863
372	2887	4853
373	2894	4844
374	2900	4834
375	2907	4824
376	2914	4816
377	2921	4806
378	2928	4798
379	2935	4789
380	2943	4782
381	2950	4773
382	2957	4764
383	2964	4755
384	2971	4746
385	2978	4738
386	2985	4729
387	2993	4721
388	3000	4712
389	3007	4703
390	3014	4694
391	3020	4685
392	3028	4676
393	3034	4667
394	3042	4659
395	3048	4650
396	3055	4640
397	3062	4632
398	3069	4623
399	3077	4616
400	3084	4607
401	3091	4599
402	3098	4589
403	3105	4581
404	3112	4572
405	3119	4563
406	3127	4556
407	3134	4548
408	3142	4540
409	3149	4531
410	3156	4523
411	3163	4514
412	3170	4505
413	3177	4498
414	3184	4489
415	3191	4480
416	3198	4471
417	3205	4463
418	3212	4454
419	3218	4445
420	3225	4436
421	3232	4427
422	3240	4419
423	3247	4411
424	3254	4403
425	3261	4394
426	3267	4384
427	3275	4377
428	3282	4368
429	3289	4360
430	3296	4352
431	3304	4344
432	3311	4335
433	3318	4327
434	3325	4319
435	3332	4310
436	3339	4302
437	3346	4293
438	3353	4285
439	3360	4277
440	3367	4268
441	3374	4260
442	3381	4251
443	3389	4244
444	3396	4235
445	3403	4227
446	3410	4219
447	3417	4210
448	3424	4202
449	3430	4193
450	3437	4184
451	3444	4176
452	3452	4168
453	3459	4160
454	3466	4151
455	3473	4143
456	3479	4134
457	3486	4126
458	3494	4118
459	3501	4110
460	3508	4102
461	3515	4093
462	3522	4085
463	3529	4077
464	3537	4069
465	3544	4061
466	3551	4053
467	3558	4045
468	3565	4037
469	3572	4029
