Year,Month,Day,DayOfWeek,UniqueCarrier,Tai_lNum,Origin_Airport,Scheduled_Departure,Dep_Delay,Distance
2016,7,1,5,AA,N793AA,BOS,600,-6,187
2016,7,2,6,AA,N784AA,BOS,600,-6,187
2016,7,4,1,AA,N785AA,BOS,600,1,187
2016,7,5,2,AA,N790AA,BOS,600,-4,187
2016,7,6,3,AA,N799AA,BOS,600,-8,187
2016,7,7,4,AA,N786AA,BOS,600,-5,187
2016,7,8,5,AA,N787AA,BOS,600,-4,187
2016,7,9,6,AA,N788AA,BOS,600,-4,187
2016,7,11,1,AA,N799AA,BOS,600,-5,187
2016,7,12,2,AA,N798AA,BOS,600,-11,187
2016,7,13,3,AA,N796AA,BOS,600,-7,187
2016,7,14,4,AA,N790AA,BOS,600,40,187
2016,7,15,5,AA,N794AA,BOS,600,0,187
2016,7,16,6,AA,N799AA,BOS,600,-5,187
2016,7,18,1,AA,N796AA,BOS,600,-5,187
2016,7,19,2,AA,N784AA,BOS,600,-4,187
2016,7,20,3,AA,N786AA,BOS,600,-9,187
2016,7,21,4,AA,N790AA,BOS,600,105,187
2016,7,22,5,AA,N799AA,BOS,600,-7,187
2016,7,23,6,AA,N791AA,BOS,600,21,187
2016,7,27,3,AA,N797AA,BOS,600,-7,187
2016,7,28,4,AA,N792AA,BOS,600,-11,187
2016,7,29,5,AA,N783AA,BOS,600,-3,187
2016,7,30,6,AA,N787AA,BOS,600,48,187
2016,7,1,5,AA,N797AA,JFK,830,16,2475
2016,7,2,6,AA,N791AA,JFK,830,1,2475
2016,7,3,7,AA,N790AA,JFK,830,0,2475
2016,7,4,1,AA,N785AA,JFK,830,-3,2475
2016,7,5,2,AA,N786AA,JFK,830,44,2475
2016,7,6,3,AA,N799AA,JFK,830,-6,2475
2016,7,7,4,AA,N789AA,JFK,830,-2,2475
2016,7,8,5,AA,N787AA,JFK,830,-7,2475
2016,7,9,6,AA,N788AA,JFK,830,-3,2475
2016,7,10,7,AA,N783AA,JFK,830,1,2475
2016,7,11,1,AA,N799AA,JFK,830,-5,2475
2016,7,12,2,AA,N798AA,JFK,830,-7,2475
2016,7,13,3,AA,N796AA,JFK,830,1,2475
2016,7,14,4,AA,N790AA,JFK,830,6,2475
2016,7,15,5,AA,N794AA,JFK,830,-1,2475
2016,7,16,6,AA,N786AA,JFK,830,0,2475
2016,7,17,7,AA,N791AA,JFK,830,1,2475
2016,7,18,1,AA,N796AA,JFK,830,-3,2475
2016,7,20,3,AA,N786AA,JFK,830,-6,2475
2016,7,21,4,AA,N790AA,JFK,830,126,2475
2016,7,22,5,AA,N785AA,JFK,830,-2,2475
2016,7,23,6,AA,N791AA,JFK,830,2,2475
