MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,1,AA,LGA,1730,0.0
8,1,AA,JFK,845,0.0
8,1,AA,JFK,1555,0.0
8,1,AA,LGA,1130,0.0
8,1,AA,LGA,1430,8.0
8,1,AA,LGA,2030,0.0
8,1,AA,LGA,600,0.0
8,1,AA,LGA,1630,0.0
8,1,AA,LGA,1830,0.0
8,1,AA,LGA,1330,0.0
8,1,AA,LGA,1930,0.0
8,1,AA,LGA,1030,0.0
8,1,AA,LGA,830,0.0
8,1,AA,LGA,1530,0.0
8,1,AA,LGA,1230,35.0
8,1,AA,LGA,659,0.0
8,1,OO,HPN,1200,0.0
8,1,OO,HPN,1630,6.0
8,1,OO,HPN,705,0.0
8,1,B6,JFK,1321,82.0
8,1,B6,JFK,807,0.0
8,1,9E,JFK,1459,32.0
8,1,9E,JFK,900,0.0
8,1,9E,JFK,1155,0.0
8,1,DL,LGA,845,0.0
8,1,DL,LGA,1130,1.0
8,1,DL,LGA,1845,1.0
8,1,DL,LGA,1630,0.0
8,1,DL,LGA,730,1.0
8,1,DL,LGA,2045,49.0
8,1,DL,LGA,1329,35.0
8,1,YX,JFK,1935,0.0
8,1,OO,LGA,1915,0.0
8,1,OO,LGA,1652,26.0
8,1,OO,LGA,1107,74.0
8,1,OO,HPN,1803,0.0
8,1,OO,HPN,1200,0.0
8,1,OO,HPN,620,10.0
8,1,UA,LGA,1815,0.0
8,1,UA,LGA,1500,0.0
8,1,UA,LGA,700,44.0
8,1,UA,LGA,2100,0.0
8,1,UA,LGA,1005,0.0
8,1,UA,LGA,1300,22.0
8,1,UA,LGA,900,0.0
8,1,UA,LGA,630,152.0
8,1,UA,LGA,800,19.0
8,2,AA,LGA,1830,0.0
8,2,AA,JFK,845,0.0
8,2,AA,LGA,1130,7.0
8,2,AA,LGA,1430,0.0
8,2,AA,LGA,1730,8.0
8,2,AA,LGA,930,43.0
8,2,AA,LGA,1630,0.0
8,2,AA,LGA,1330,0.0
8,2,AA,LGA,600,0.0
8,2,AA,LGA,659,0.0
8,2,AA,LGA,2030,0.0
8,2,AA,LGA,830,0.0
8,2,AA,JFK,1555,20.0
8,2,AA,LGA,1530,5.0
8,2,AA,LGA,1030,0.0
8,2,AA,LGA,1230,0.0
8,2,AA,LGA,1930,0.0
8,2,OO,HPN,705,0.0
8,2,OO,HPN,1630,0.0
8,2,OO,HPN,1200,0.0
8,2,B6,JFK,807,0.0
8,2,B6,JFK,1321,3.0
8,2,9E,JFK,1459,0.0
8,2,9E,JFK,900,0.0
8,2,9E,JFK,1155,1.0
8,2,DL,LGA,730,0.0
8,2,DL,LGA,1329,16.0
8,2,DL,LGA,2045,0.0
8,2,DL,LGA,1130,14.0
8,2,DL,LGA,1630,0.0
8,2,DL,LGA,600,3.0
8,2,DL,LGA,1845,0.0
8,2,DL,LGA,845,0.0
8,2,YX,JFK,1935,0.0
8,2,OO,LGA,1915,0.0
8,2,OO,LGA,1107,26.0
8,2,OO,LGA,1652,0.0
8,2,OO,HPN,620,0.0
8,2,OO,HPN,1803,0.0
8,2,OO,HPN,1200,0.0
8,2,UA,LGA,1300,0.0
8,2,UA,LGA,800,0.0
8,2,UA,LGA,900,0.0
8,2,UA,LGA,1005,0.0
8,2,UA,LGA,1815,0.0
8,2,UA,LGA,1500,0.0
8,2,UA,LGA,630,0.0
8,2,UA,LGA,2100,0.0
8,2,YX,LGA,700,0.0
8,3,AA,JFK,845,0.0
8,3,AA,LGA,1630,0.0
8,3,AA,LGA,1130,0.0
8,3,AA,LGA,1430,66.0
8,3,AA,LGA,1530,65.0
8,3,AA,LGA,830,0.0
8,3,AA,LGA,1730,100.0
8,3,AA,LGA,600,0.0
8,3,AA,LGA,1030,3.0
8,3,AA,LGA,1230,8.0
8,3,AA,LGA,659,0.0
8,3,AA,LGA,1330,76.0
8,3,OO,HPN,1200,0.0
8,3,OO,HPN,705,0.0
8,3,B6,JFK,807,0.0
8,3,9E,JFK,900,0.0
8,3,9E,JFK,1155,0.0
8,3,DL,LGA,730,0.0
8,3,DL,LGA,845,0.0
8,3,DL,LGA,1329,0.0
8,3,DL,LGA,1130,0.0
8,3,DL,LGA,600,0.0
8,3,YX,JFK,1935,145.0
8,3,OO,LGA,1107,0.0
8,3,OO,HPN,620,2.0
8,3,OO,HPN,1200,0.0
8,3,UA,LGA,900,0.0
8,3,UA,LGA,1005,0.0
8,3,UA,LGA,630,0.0
8,3,UA,LGA,800,0.0
8,3,YX,LGA,700,0.0
8,4,AA,JFK,845,89.0
8,4,AA,LGA,1430,0.0
8,4,AA,LGA,1130,0.0
8,4,AA,LGA,600,105.0
8,4,AA,LGA,930,0.0
8,4,AA,LGA,659,4.0
8,4,AA,LGA,1330,34.0
8,4,AA,LGA,1229,0.0
8,4,AA,LGA,1730,61.0
8,4,AA,LGA,1030,0.0
8,4,OO,HPN,1200,0.0
8,4,OO,HPN,705,0.0
8,4,OO,HPN,1630,158.0
8,4,B6,JFK,1321,0.0
8,4,B6,JFK,807,15.0
8,4,9E,JFK,900,0.0
8,4,9E,JFK,1459,15.0
8,4,9E,JFK,1155,6.0
8,4,DL,LGA,1329,0.0
8,4,DL,LGA,1130,0.0
8,4,DL,LGA,600,0.0
8,4,DL,LGA,845,84.0
8,4,DL,LGA,1630,109.0
8,4,OO,LGA,1652,79.0
8,4,OO,LGA,1107,12.0
8,4,OO,HPN,1200,0.0
8,4,OO,HPN,1803,63.0
8,4,OO,HPN,620,0.0
8,4,UA,LGA,1300,2.0
8,4,UA,LGA,900,0.0
8,4,UA,LGA,1005,1.0
8,4,UA,LGA,800,0.0
8,4,UA,LGA,630,0.0
8,4,UA,LGA,1500,12.0
8,4,YX,LGA,700,0.0
8,5,AA,JFK,1555,5.0
8,5,AA,LGA,659,1.0
8,5,AA,LGA,1530,1.0
8,5,AA,LGA,1130,105.0
8,5,AA,LGA,600,0.0
8,5,AA,LGA,1330,18.0
8,5,AA,LGA,1030,0.0
8,5,AA,LGA,1630,0.0
8,5,AA,LGA,1730,30.0
8,5,AA,LGA,830,65.0
8,5,OO,HPN,1630,171.0
8,5,OO,HPN,1200,12.0
8,5,OO,HPN,705,0.0
8,5,B6,JFK,1321,12.0
8,5,B6,JFK,807,6.0
8,5,9E,JFK,1459,101.0
8,5,9E,JFK,900,0.0
8,5,9E,JFK,1155,0.0
8,5,DL,LGA,1630,21.0
8,5,DL,LGA,1329,28.0
8,5,DL,LGA,730,56.0
8,5,DL,LGA,1130,39.0
8,5,DL,LGA,600,0.0
8,5,DL,LGA,845,0.0
8,5,OO,LGA,1107,0.0
8,5,OO,LGA,1652,12.0
8,5,OO,HPN,1803,20.0
8,5,OO,HPN,620,0.0
8,5,OO,HPN,1200,0.0
8,5,UA,LGA,1005,0.0
8,5,UA,LGA,1300,45.0
8,5,UA,LGA,900,0.0
8,5,UA,LGA,800,1.0
8,5,UA,LGA,1500,47.0
8,5,UA,LGA,630,0.0
8,5,YX,LGA,700,32.0
8,6,AA,LGA,1130,33.0
8,6,AA,JFK,900,0.0
